"date","load"
2011-07-01,3345.17506293053
2011-07-02,3393.37664119673
2011-07-03,3538.55614936791
2011-07-04,3696.29869190541
2011-07-05,3798.06759361251
2011-07-06,3753.46505780551
2011-07-07,3565.78941290379
2011-07-08,3491.01316214566
2011-07-09,3585.15383723891
2011-07-10,3705.86052666211
2011-07-11,3500.15962755079
2011-07-12,3791.76469307396
2011-07-13,3965.71159362554
2011-07-14,3997.17353118572
2011-07-15,3705.38103236828
2011-07-16,3616.12716628779
2011-07-17,3977.47916672438
2011-07-18,3934.3614006804
2011-07-19,3889.28695919968
2011-07-20,3956.3856613016
2011-07-21,4094.54153492371
2011-07-22,4119.89023418406
2011-07-23,4085.45386725149
2011-07-24,3835.08317152863
2011-07-25,3570.86036681694
2011-07-26,3513.82667262406
2011-07-27,3845.44885568752
2011-07-28,4098.0499300996
2011-07-29,3954.08299217735
2011-07-30,3804.81644122401
2011-07-31,4009.80449763036
